id,title,url,score,by,time,descendants,kids,domain,comment_count,date,hour
49488224,How bicycle coaster brakes work (2018),https://www.dougbarnesauthor.com/2018/06/how-bicycle-coaster-brakes-work.html,89,Vedor,2026-08-29 09:05:53,87,"[49527465 49527351 49531602 49527449 49526975 49533622 49535072 49527265
 49527034 49539689 49534372 49534699 49533548 49529241 49527279 49535012
 49527142 49534288 49547771 49533746 49532438]",dougbarnesauthor.com,87,2026-08-29,9
49489098,Building Autonomous Goal Loops That Deliver,https://jx0.ca/building-autonomous-goal-loops-that-deliver/,53,jarredkenny,2026-08-29 11:49:32,9,[49531359 49540863 49532590 49532099 49532427 49531498 49531431],jx0.ca,9,2026-08-29,11
49490498,Magic eye tube,https://en.wikipedia.org/wiki/Magic_eye_tube,101,peter_d_sherman,2026-08-29 15:03:41,27,"[49525992 49553340 49528101 49527070 49526424 49528726 49527299 49527672
 49490508 49526587]",en.wikipedia.org,27,2026-08-29,15
49493468,American Airlines mechanic Azriel “Al” Blackman has died,https://simpleflying.com/american-airlines-mechanic-passes-away-100-record-80-years/,383,NaOH,2026-08-29 21:25:17,163,"[49527756 49521522 49493475 49521729 49519762 49520351 49526918 49524867
 49493517 49529753 49523556 49522100 49522985 49520706 49527533 49521686
 49521785 49522937]",simpleflying.com,163,2026-08-29,21
49494236,Open Battery Information,https://github.com/mnh-jansson/open-battery-information,56,toomuchtodo,2026-08-29 23:27:41,11,"[49534651 49535589 49534629 49494237 49534722 49534376 49534511 49534642
 49535448 49535522]",github.com,11,2026-08-29,23
49496292,Smartphone LED detects hidden cameras with AI,https://www.chosun.com/english/industry-en/2026/08/30/SBFXUIJQYZEARKP5T4FBAY25HQ/,283,geox,2026-08-30 06:52:04,84,"[49516416 49522055 49515068 49519866 49519950 49513468 49513385 49517632
 49517654 49518243 49517633 49518099 49519132 49517068 49513812 49496804
 49517814]",chosun.com,84,2026-08-30,6
49497996,The shrinking landscape of linguistic diversity in the age of LLMs,https://www.nature.com/articles/s41562-026-02550-0,151,Anon84,2026-08-30 12:12:56,174,"[49545606 49545706 49546371 49545544 49545090 49498881 49547328 49547099
 49546117 49499982 49549397 49548840 49545521 49500648 49547369 49551212
 49545953 49545800 49545708 49547464 49545147 49546147 49545332 49545568
 49545560 49547395]",nature.com,174,2026-08-30,12
49502367,Making the Internet Boring,https://cemrehancavdar.com/2026/08/30/making-the-internet-boring/,129,zdw,2026-08-30 20:20:30,68,"[49543603 49557108 49540900 49543791 49540158 49541303 49541213 49547807
 49541629 49546703 49543265 49550353 49545160 49546531 49546816 49542766
 49543315 49546583 49540910 49542498 49541122 49543802 49543864 49543064
 49540194 49544732 49541377 49540554]",cemrehancavdar.com,68,2026-08-30,20
49503601,“I just chose words carefully”,https://unsung.aresluna.org/i-just-chose-words-carefully/,1252,zdw,2026-08-30 22:49:48,353,"[49503733 49507653 49505414 49503966 49504270 49504254 49503754 49506771
 49503897 49510549 49509971 49504499 49504232 49504094 49507416 49504376
 49504714 49504529 49506289 49506604 49503779 49508077 49503786 49508270
 49504603 49503994 49505606 49506560 49507103 49504245 49504124 49504035
 49504242 49504458 49503982 49504023 49504995 49503871 49504593 49507714
 49506525 49504695 49507436 49512280 49507616 49508727 49507834 49512004
 49505926 49505704 49506243 49503801 49507860 49507185 49506575 49507940
 49507311 49504062 49509757 49510198 49505286 49504320 49506096 49504221
 49510148 49504634 49511548 49506570 49504750 49507196 49510987 49510281
 49508793 49505107 49507717 49506082 49506303 49506947 49504349 49504171
 49506498 49506235]",unsung.aresluna.org,353,2026-08-30,22
49506819,Breaking Claude Code Opus 5 Auto Mode,https://embracethered.com/blog/posts/2026/breaking-claude-code-opus-5-and-automode/,397,Recursing,2026-08-31 07:49:18,121,"[49508472 49508271 49508244 49509131 49508024 49508228 49508872 49508176
 49516049 49508042 49508307 49508199 49510617 49509804 49507636 49515219
 49508311 49513956 49523598 49508262 49510261 49509760 49511340 49508971
 49508660 49521458 49518565 49513284 49508729 49508186]",embracethered.com,121,2026-08-31,7
49507370,"AI, ex-Soviet engineers, and the Holy Grail of rocketry",https://www.fastcompany.com/91563020/aspire-rocket-design-spacex,42,rbanffy,2026-08-31 09:04:32,9,[49538594 49538621 49538686],fastcompany.com,9,2026-08-31,9
49507807,Product Backlog Problems: Why Your Hierarchy Is Broken,https://www.prodpad.com/blog/backlog-hierarchy-problem/,30,adrianhoward,2026-08-31 09:56:23,22,[49551704 49543903 49544250 49544269 49545097 49545927 49543480 49508117],prodpad.com,22,2026-08-31,9
49508608,Reverse Engineering Unknown File Formats with ImHex,https://werwolv.net/posts/file_format_reverse_engineering/,248,carlos-menezes,2026-08-31 12:01:05,49,"[49543623 49544775 49545181 49549050 49545559 49543340 49545435 49544166
 49543785 49544385 49551351 49544126 49548804 49543451 49545804 49549126
 49544584 49546376 49543729 49548756 49545798 49545089 49542740]",werwolv.net,49,2026-08-31,12
49509655,We are rebuilding Monica,https://www.monicahq.com/en/blog/we-are-rebuilding-monica/,121,robinhood,2026-08-31 13:37:28,93,"[49523435 49523506 49523174 49526229 49524615 49523735 49525204 49523571
 49524735 49523814 49515841 49523107 49534893 49523250 49534042 49523659
 49524767 49524461 49524894 49524105 49523885 49530268 49525955 49525064]",monicahq.com,93,2026-08-31,13
49511534,"RavynOS: Pre-alpha open-source OS based on Darwin, FreeBSD, Apple open-source",https://ravynos.com/,237,Bluestein,2026-08-31 16:19:36,139,"[49513311 49512156 49512501 49512709 49515633 49513280 49512797 49512130
 49515620 49513959 49512059 49511852 49513489 49514313 49522416 49519042
 49511988 49512906 49516644 49513172 49512884 49512849 49517178 49511823]",ravynos.com,139,2026-08-31,16
49513856,A Selection of Los Alamos Rolodex Business Cards,https://clui.org/collections/los-alamos-business-cards/selection-cards,202,1970-01-01,2026-08-31 19:25:44,51,"[49545775 49543758 49537586 49537628 49538456 49537682 49541431 49539412
 49545808 49549086 49547529 49555939 49543477 49546486 49548849]",clui.org,51,2026-08-31,19
49516059,Tmp.0ut Volume 5,https://tmpout.sh/5/,214,ghuntley,2026-08-31 23:26:08,42,"[49519390 49519171 49522524 49514884 49513605 49472781 49520074 49473822
 49515972 49475389 49514118 49522248 49513603 49519910 49523431 49530971
 49523645 49519239 49521677 49519145 49519976 49524538]",tmpout.sh,42,2026-08-31,23
49516209,Has early Scratch experience led to fulfilling careers?,https://twitter.com/ID_AA_Carmack/status/2094450188911845827,122,ilamont,2026-08-31 23:46:38,98,"[49526738 49516725 49517243 49525350 49525347 49517072 49521737 49522105
 49516793 49517325 49526332 49517205 49526322 49516809 49526406 49516849
 49525512 49517309 49517223 49517277 49516938 49517186 49548426 49517688
 49518505 49532500 49526550 49535218 49529637 49517410 49517187 49525343
 49526808 49517076 49517079 49517287 49517323 49517349 49525487 49517210
 49516791 49517040 49517272 49517152 49517574 49517560 49516991 49524619
 49522016 49517139 49526391 49517151 49517264 49517332]",twitter.com,98,2026-08-31,23
49516929,Florida revokes permits for license plate readers on state highways,https://www.wusf.org/transportation/2026-08-31/fdot-revokes-permits-for-flock-cameras-installed-on-state-land-next-to-roads,86,ilamont,2026-09-01 01:38:17,52,"[49551813 49552154 49552204 49516930 49550672 49551639 49550714 49551673
 49552479 49551291]",wusf.org,52,2026-09-01,1
49517018,Wendell Berry has died,https://www.nytimes.com/2026/08/31/us/wendell-berry-dead.html,228,Curiositry,2026-09-01 01:49:58,116,"[49542847 49541807 49549642 49517366 49542920 49543904 49520344 49517403
 49525390 49543893 49541299 49517990 49517859 49542404 49549386 49517175
 49546601 49543425 49542676 49544979 49523947 49541404 49541416 49541432
 49541151]",nytimes.com,116,2026-09-01,1
49517297,RotaryCell: Making an unmodified rotary phone work over LTE with an ESP32-S3,https://github.com/fregacmols/RotaryCell,154,jombib,2026-09-01 02:29:23,52,"[49520936 49521184 49519427 49520774 49519316 49518436 49519758 49528770
 49518012 49521959 49517298 49523125]",github.com,52,2026-09-01,2
