by,stories_posted,total_score,avg_score,total_comments
speckx,3,55,18.333333333333332,15
porridgeraisin,3,802,267.3333333333333,209
Brajeshwar,2,48,24.0,20
ilamont,2,208,104.0,150
duck,2,97,48.5,17
zdw,2,1381,690.5,421
Bender,1,29,29.0,6
Anon84,1,151,151.0,174
AntonioLi,1,199,199.0,66
Alephinitesimal,1,257,257.0,251
1970-01-01,1,202,202.0,51
MariBee,1,5,5.0,0
MichalKrk,1,14,14.0,10
NaOH,1,383,383.0,163
Plasmoid,1,14,14.0,5
Recursing,1,397,397.0,121
TheOnlyWayUp,1,51,51.0,58
Tomte,1,12,12.0,0
Vaslo,1,5,5.0,0
Vedor,1,89,89.0,87
Visby,1,12,12.0,7
__vivek,1,203,203.0,147
Bluestein,1,237,237.0,139
Curiositry,1,228,228.0,116
EmiCorleone,1,46,46.0,20
HelloUsername,1,125,125.0,90
HieronymusBosch,1,581,581.0,204
asim,1,17,17.0,1
all2,1,114,114.0,45
akkartik,1,294,294.0,105
adrianhoward,1,30,30.0,22
adletbalzhanov,1,9,9.0,2
conferza,1,284,284.0,256
carlos-menezes,1,248,248.0,49
at1as,1,35,35.0,17
doener,1,3,3.0,0
erikvanoosten,1,560,560.0,263
frexs,1,180,180.0,132
geox,1,283,283.0,84
ghuntley,1,214,214.0,42
degamad,1,191,191.0,173
devy,1,6,6.0,2
blondie9x,1,18,18.0,0
goobreee,1,177,177.0,65
gurjeet,1,109,109.0,36
herobird,1,136,136.0,18
handfuloflight,1,206,206.0,163
hexa555,1,917,917.0,278
jarredkenny,1,53,53.0,9
jatins,1,864,864.0,1034
jithinraj,1,175,175.0,101
johnsutor,1,267,267.0,59
jombib,1,154,154.0,52
judah,1,206,206.0,176
knowablemag,1,6,6.0,1
magoghm,1,46,46.0,60
giuliomagnifico,1,350,350.0,180
glimshe,1,70,70.0,2
chmaynard,1,7,7.0,12
mooreds,1,37,37.0,4
mdp2021,1,339,339.0,133
maherbeg,1,32,32.0,11
peter_d_sherman,1,101,101.0,27
philipkiely,1,153,153.0,45
pminimax,1,54,54.0,7
ptrhvns,1,308,308.0,354
nreece,1,847,847.0,560
rabbit_1,1,4,4.0,0
rafaelc,1,4,4.0,2
rbanffy,1,42,42.0,9
randycupertino,1,338,338.0,133
robinhood,1,121,121.0,93
rwky,1,721,721.0,148
schmuhblaster,1,290,290.0,108
paulharter,1,3,3.0,0
simonpure,1,33,33.0,29
stefanvdw1,1,60,60.0,19
surreal_,1,323,323.0,94
stevekrouse,1,25,25.0,1
tatersolid,1,412,412.0,274
theanonymousone,1,90,90.0,42
toomuchtodo,1,56,56.0,11
syumei,1,11,11.0,0
tosh,1,17,17.0,2
try-working,1,53,53.0,28
viermalbe,1,38,38.0,4
user_7832,1,198,198.0,164
vismit2000,1,189,189.0,22
whoishiring,1,106,106.0,418
yakkomajuri,1,136,136.0,113
zug_zug,1,24,24.0,22
